idsml,idver,zverejneni,uzavreni,subjekt,ico,utvar,cena_bezdph,cena_sdph,cena_cizi,cena_cizi_mena,predmet,navazny
4037,4169,2016-07-13T06:00:25+02:00,2016-07-12,Masarykův onkologický ústav,00209805,,220597.77,,,,Dodávka léčivých přípravků,
4041,4173,2016-07-13T06:14:48+02:00,2016-07-14,Novoměstské sociální služby,48899097,,84.0,,,,Dodatek ke smlouvě o poskytování peč. služby,
4045,4177,2016-07-13T06:16:40+02:00,2016-07-07,STATUTÁRNÍ MĚSTO LIBEREC,00262978,,840000.0,1016400.0,,,„Projektová příprava na akci Rekonstrukce a stavební úpravy ZŠ a MŠ v Liberci pro navýšení kapacit: ZŠ Náměstí Míru“,
4049,4181,2016-07-13T06:19:00+02:00,2016-07-08,Novoměstské sociální služby,48899097,,84.0,,,,Smlouva o poskytování peč. služby,
4057,4189,2016-07-13T07:25:23+02:00,2016-05-16,Město Jilemnice,00275808,"Odbor rozvoje, investic a majetku",224502.19,224502.19,,,"Kupní smlouva č. 08-VZ-2016, uzavřená dne 16.05.2016 (firma Z+M Partner, spol. s.r.o.)",
4061,4193,2016-07-13T07:28:36+02:00,2016-07-12,Fakturace (Ministerstvo obrany),60162694,A499,,75000.0,,,7. Dílčí plnění – Nákup 1 250  ks stravovacích poukázek za červen 2016,
4065,4197,2016-07-13T07:40:07+02:00,2016-07-12,KruV - RS (Kraj Vysočina),70890749,,537100.0,649891.0,,,Kupní smlouva - servery,
4069,4201,2016-07-13T07:47:54+02:00,2013-02-01,Univerzita Karlova v Praze,00216208,1.LF UK OVZ,10998388.0,13308049.0,,,"1.LF UK OVZ 2013X-0004 rámcová servisní smlouva, Servis, údržba a rozvoj aplikačního software iFIS",
4073,4205,2016-07-13T07:54:18+02:00,2016-07-12,MĚSTO BROUMOV,00272523,,,,,,Smlouva o úvěru,
4077,4209,2016-07-13T07:59:11+02:00,2016-06-10,Krajské ředitelství policie Jihočeského kraje,75151511,Krajské ředitelství policie Jihočeského kraje,1811600.0,2192036.0,,,Balistické vesty NIJ-GARED s.r.o.,
4081,4213,2016-07-13T07:59:29+02:00,2016-05-30,Krajské ředitelství policie Jihočeského kraje,75151511,Krajské ředitelství policie Jihočeského kraje,116657.0,141155.0,,,Zařízení pro diagnost. říd. jedn.vozidel,
4085,4217,2016-07-13T08:00:42+02:00,2016-05-25,Krajské ředitelství policie Jihočeského kraje,75151511,Krajské ředitelství policie Jihočeského kraje,599779.41,725733.08,,,Opr.střechy Dvořákova  - Panel servis,
4089,4221,2016-07-13T08:10:30+02:00,2016-07-11,Okresní soud v Trutnově,00025020,,1475459.0,1785305.0,,,Smlouva o dílo - OS Trutnov - rekonstrukce výměníkové stanice,
4093,4225,2016-07-13T08:10:59+02:00,2016-07-01,Střední zdravotnická škola a Vyšší odborná škola zdravotnická Emanuela Pöttinga a Jazyková škola s právem státní jazykové zkoušky Olomouc,00600938,,111570.54,,,,výměna ohřívače TUV s napojením a demontáží nebunkčního ohřívače,
4101,4233,2016-07-13T08:16:05+02:00,2016-07-08,Vojenská nemocnice Olomouc,60800691,,60290.0,72950.9,,,Objednávka hygienických obalů,
4109,4237,2016-07-13T08:21:03+02:00,2016-07-04,Vojenská nemocnice Olomouc,60800691,,72035.2,87162.59,,,Objednávka - kancelářské potřeby,
4113,4241,2016-07-13T08:29:25+02:00,2016-07-12,Thomayerova nemocnice,00064190,,,,,,objednávka zdravotinckého materiálu,
4117,4245,2016-07-13T08:30:22+02:00,2016-07-13,Město Chrastava,00262871,ORM,10000.0,12100.0,,,Smlouva uzavření budoucí smlouvy o zřízení věcného břemene,
4125,4249,2016-07-13T08:34:55+02:00,2016-06-03,Krajské ředitelství policie Jihočeského kraje,75151511,Krajské ředitelství policie Jihočeského kraje,283718.69,343299.62,,,Oprava střechy ÚO ČK-Stavitelství Kučera,
4133,4253,2016-07-13T08:40:48+02:00,2016-07-13,Město Chrastava,00262871,ORM,,,,,Smlouva o uzavření budoucí smlouvy o zřízení věcného břemene,
4137,4257,2016-07-13T08:42:16+02:00,2016-07-13,"Lesy České republiky, s.p.",42196451,,1.0,,,,Pokus,
4145,4265,2016-07-13T08:50:01+02:00,2016-07-01,"DIAMO, státní podnik",00002739,,,,7900.84,EUR,Dodávka 1 ks regulačního keramického ventilu DN 50,
4149,4269,2016-07-13T08:50:52+02:00,2016-07-12,Město Nýřany,00258199,,,690150.0,,,Prodej pozemků - č. parc.1964 a č. parc. 1968,
4153,4273,2016-07-13T08:51:42+02:00,2016-06-21,Obec Krmelín,00296848,,348807.0,,,,"Smlouva o dílo č. SOD 03/2016 ""Provedení opravy fasády Obecního domu v Krmelíně""",
4157,4277,2016-07-13T08:57:15+02:00,2016-07-01,"ČEPRO, a.s.",60193531,,,,,,Rámcová kupní smlouva - Osobní ochranné pracovní prostředky,
4161,4281,2016-07-13T08:58:25+02:00,2016-07-12,Fakturace (Ministerstvo obrany),60162694,A499,,163680.0,,,Nákup IR náložek.,
4165,4285,2016-07-13T08:59:55+02:00,2016-02-11,Fakturace (Ministerstvo obrany),60162694,A499,,300000.0,,,RS zabezpečení přeprav osob mikrobusem,
4169,4289,2016-07-13T08:59:50+02:00,2016-07-07,MV - generální ředitelství HZS ČR,00007064,GŘ HZS ČR,66000.0,79860.0,,,"HDD SAS HP 1,2TB",
4173,4293,2016-07-13T09:00:32+02:00,2016-06-29,Město Semily,00276111,,121460.0,121460.0,,,"Smlouva o dotaci_dotace na projekt ""Příběhy našich sousedů - žákovský a studentský dokumentaristický projekt (září 2016 – březen 2017)""",
4177,4297,2016-07-13T09:00:34+02:00,2016-07-01,Město Semily,00276111,,,,,,Příkazní smlouva_zmocnění ke zveřejňování smluv v Registru smluv,
4181,4301,2016-07-13T09:00:38+02:00,2016-07-01,Město Semily,00276111,,,,,,Příkazní smlouva_zmocnění ke zveřejňování smluv v Registru smluv,
4185,4305,2016-07-13T09:00:56+02:00,2016-06-29,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,899.0,899.0,,,Tlumočení jazyk pandžábí Bělá,
4189,4309,2016-07-13T09:00:35+02:00,2016-07-01,Město Semily,00276111,,,,,,Příkazní smlouva_zmocnění ke zveřejňování smluv v Registru smluv,
4193,4313,2016-07-13T09:01:28+02:00,2016-02-03,Fakturace (Ministerstvo obrany),60162694,A499,,300000.0,,,RS Nákup PHM prostřednictvím odběrových karet,
4201,4321,2016-07-13T09:02:12+02:00,2016-02-05,Fakturace (Ministerstvo obrany),60162694,A499,,300000.0,,,RS Zabezpečení přeprav materiálu,
4205,4325,2016-07-13T09:03:02+02:00,2016-02-18,Fakturace (Ministerstvo obrany),60162694,A499,,80000.0,,,RS opravy hudebních nástrojů,
4209,4329,2016-07-13T09:03:40+02:00,2016-02-29,Fakturace (Ministerstvo obrany),60162694,A499,,80000.0,,,RS opravy smyčců,
4213,4333,2016-07-13T09:04:17+02:00,2016-03-01,Fakturace (Ministerstvo obrany),60162694,A499,,200000.0,,,RS servisní prohlídky a opravy osobních vozidel,
4221,4341,2016-07-13T09:04:57+02:00,2016-02-26,Fakturace (Ministerstvo obrany),60162694,A499,,300000.0,,,RS zabezpečení přeprav osob autobusem,
4225,4345,2016-07-13T09:06:59+02:00,2016-06-07,Krajské ředitelství policie Jihočeského kraje,75151511,Krajské ředitelství policie Jihočeského kraje,478712.44,579242.05,,,Rek.plyn.kotelny OOPN.Bystřice-GASTOP JH,
4229,4349,2016-07-13T09:07:34+02:00,2016-07-12,"Základní škola Frýdek-Místek, Pionýrů 400",60046121,,58766.4,,,,Objednávka - nákup židlí a lavic,
4233,4353,2016-07-13T09:09:44+02:00,2016-07-07,Úřad práce České republiky,72496991,,,60000.0,,,"poukázky pro výplatu HN - Kop Č. Budějovice 1200 ks á 50,- Kč",
4237,4357,2016-07-13T09:10:03+02:00,2016-07-07,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0443",
4241,4361,2016-07-13T09:10:02+02:00,2016-07-06,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0450",
4245,4365,2016-07-13T09:14:33+02:00,2016-07-04,Město Neratovice,00237108,,62109.0,,,,Provedení zámkové dlažby v areálu MŠ Čtyřlístek v Neratovicích.,
4249,4369,2016-07-13T09:16:18+02:00,2016-06-26,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,620.0,750.2,,,Tlumočení hindu Bělá,
4253,4373,2016-07-13T09:17:18+02:00,2016-06-08,Hlavní město Praha,00064581,,87434.0,,,,Nákup a instalace protihlukového materiálu,1837
4261,4381,2016-07-13T09:20:02+02:00,2016-07-08,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0254",
4265,4385,2016-07-13T09:21:06+02:00,2016-01-05,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Barvy Laky,
4269,4389,2016-07-13T09:21:18+02:00,2016-01-25,Fakturace (Ministerstvo obrany),60162694,A499,,314610.0,,,Nákup stravovacích poukázek na rok 2016-2017,
4273,4393,2016-07-13T09:21:36+02:00,2016-07-11,STATUTÁRNÍ MĚSTO LIBEREC,00262978,,309367.8,374335.04,,,"ZŠ Liberec, ul. Orlí 140/7, oprava tělocvičny",
4277,4397,2016-07-13T09:27:33+02:00,2016-07-08,Městský obvod Vítkovice,00845451,,7642672.24,9247633.41,,,Rekonstrukce kanalizace v ul. Junácká,
4281,4401,2016-07-13T09:28:20+02:00,2016-07-13,"Armádní Servisní, příspěvková organizace",60460580,,518888.0,627854.48,,,Smlouva o nájmu,
4285,4405,2016-07-13T09:29:35+02:00,2016-07-12,"Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje",70932581,,1406400.0,,,,"II/408 Suchohrdly u Znojma - Přímětice - I/38 (průtahy) - PDPS, SP, IČ. Dodatek č. 2",
4289,4409,2016-07-13T09:30:04+02:00,2016-07-07,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0381",
4293,4413,2016-07-13T09:30:04+02:00,2016-07-08,KruV - RS (Kraj Vysočina),70890749,,,105000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0367",
4301,4421,2016-07-13T09:30:32+02:00,2016-06-29,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,999.0,999.0,,,Tlumočení perský Drahonice,
4305,4425,2016-07-13T09:30:02+02:00,2016-07-01,"DIAMO, státní podnik",00002739,,580039.0,,,,Oprava stroje KAISER S2-3,
4309,4429,2016-07-13T09:30:07+02:00,2016-07-08,KruV - RS (Kraj Vysočina),70890749,,,108000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0094",
4313,4433,2016-07-13T09:30:05+02:00,2016-07-07,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0387",
4317,4437,2016-07-13T09:30:04+02:00,2016-07-08,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0368",
4325,4445,2016-07-13T09:30:06+02:00,2016-07-08,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0364",
4329,4449,2016-07-13T09:30:08+02:00,2016-07-07,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0335",
4333,4453,2016-07-13T09:35:25+02:00,2016-01-05,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Praní Prádla,
4337,4457,2016-07-13T09:37:35+02:00,2016-07-08,Jihomoravský kraj,70888337,Odbor regionálního rozvoje,,68600.0,,,DOT - DP ČCK 2016 - Mikroregion Ivančicko,
4341,4461,2016-07-13T09:40:04+02:00,2016-07-07,KruV - RS (Kraj Vysočina),70890749,,,104000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0091",
4345,4465,2016-07-13T09:40:04+02:00,2016-07-08,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0090",
4349,4469,2016-07-13T09:40:02+02:00,2016-07-07,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0010",
4353,4473,2016-07-13T09:40:03+02:00,2016-07-07,KruV - RS (Kraj Vysočina),70890749,,,110000.0,,,"poskytnutí dotace, POVV 2016, ID ZZ01488.0028",
4357,4477,2016-07-13T09:40:58+02:00,2016-01-05,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Broušení nožů Rolby,
4365,4485,2016-07-13T09:44:45+02:00,2016-07-04,Regionální pracoviště Ústecko (Agentura ochrany přírody a krajiny České republiky),62933591,,253000.0,306130.0,,,"Drop velký, aktualizace záchranného programu",
4373,4493,2016-07-13T09:46:46+02:00,2016-07-12,Český statistický úřad,00025593,,1502000.0,1817420.0,,,"Smlouva o poskytování služeb systémové, výkonné a poradenské podpory aplikací statistického informačního systému ČSÚ: Evidenční systém a Výkazy podle IČO",
4377,4497,2016-07-13T09:46:51+02:00,2016-06-16,Statutární město Prostějov,00288659,Městská policie,,153500.0,,,Kupní smlouva - nákup 10 ks radiostanic MOTOROLA,
4381,4501,2016-07-13T09:49:00+02:00,2016-01-05,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Dodávky a likvidace Tonerů do tiskáren,
4385,4505,2016-07-13T09:50:02+02:00,2016-07-11,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,316000.0,,,"Smlouva o dílo ""Provedení pokládky ložných a obrusných vrstev na silnici III/39013 Hodov-Budišov""",
4393,4513,2016-07-13T09:51:25+02:00,2016-07-12,Thomayerova nemocnice,00064190,,,,,,Dodávka ZM,
4397,4517,2016-07-13T09:52:06+02:00,2016-01-05,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Opravy Roleb,
4401,4521,2016-07-13T09:57:49+02:00,2016-07-12,"Střední škola polytechnická, Brno, Jílová 36g",00638013,,299704.8,362642.9,,,Dodávka pracovní obuvi a ochranných pracovních pomůcek dle přílohy č. 1 kupní smlouvy.,
4405,4525,2016-07-13T09:57:52+02:00,2016-01-04,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,Celoroční objednávka 2016 servis a revize klimatizací,
4409,4529,2016-07-13T10:00:03+02:00,2016-07-11,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,7405692.0,,,"Souvislé opr. silnic, opr. mostů a op. zdí,II.etapa""Část I. III/34754 křiž. 34750 - Vadín průtah",
4413,4533,2016-07-13T10:00:03+02:00,2016-07-11,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,2567404.0,,,"Souvislé opr. silnic, opr. mostů a opěr. zdí,I.etapa""Část II. III/35436 Kochánov",
4197,4541,2016-07-13T10:04:04+02:00,2016-07-12,Město Blovice,00256455,,4075067.0,4930831.0,,,"Smlouva o dílo - VODOVOD BLOVICE, LOKALITA HÁJEK, PRODLOUŽENÍ VODOVODU",
4421,4545,2016-07-13T10:03:59+02:00,2016-01-07,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Broušení nožů Rolby WM Evolution,
4425,4549,2016-07-13T10:07:11+02:00,2016-01-01,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Zajištění pomocných prací,
4429,4553,2016-07-13T10:08:12+02:00,2016-06-26,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,620.0,750.2,,,Tlumočení urdu Bělá,
4433,4557,2016-07-13T10:10:02+02:00,2016-07-11,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,10732698.0,,,"Souvislé opravy silnic, opravy mostů a opěrných zdí Kraje Vysočina v roce 2016,II.etapa""",
4437,4561,2016-07-13T10:10:48+02:00,2016-07-12,Jihočeský kraj,70890650,Odbor evropských záležitostí,210000.0,210000.0,,,"DP PRP 2016, 9-02-005/16 ICOS Český Krumlov",
4441,4565,2016-07-13T10:14:51+02:00,2016-01-07,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Pořadatelské zdravotní služby Veřejné Bruslení,
4445,4569,2016-07-13T10:14:56+02:00,2016-07-08,Obec Lovčičky,00291994,,331092.0,400619.0,,,Novostavba chodniku Lovčičky - chodník k dětskému hřišti,
4449,4573,2016-07-13T10:15:45+02:00,2016-07-08,"Armádní Servisní, příspěvková organizace",60460580,,92850.0,112348.5,,,Servis plynových kotlů,
4453,4577,2016-07-13T10:15:41+02:00,2016-06-26,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,650.0,786.5,,,Tlumočení hindu Drahonice,
4457,4581,2016-07-13T10:18:52+02:00,2016-07-13,Město Vsetín,00304450,,166000.0,200860.0,,,smlouva o dílo,
4465,4589,2016-07-13T10:18:48+02:00,2016-07-12,Jihočeský kraj,70890650,Odbor evropských záležitostí,80000.0,80000.0,,,"DP PRP 2016, 9-04.005/16 ICOS Český Krumlov",
4469,4593,2016-07-13T10:19:47+02:00,2016-06-18,Město Sokolov,00259586,,,,,,Veřejnoprávní smlouva k zajištění činnosti speciálního stavebního úřadu - Krajková,
4473,4597,2016-07-13T10:21:28+02:00,2016-01-01,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 Zajištění pomocných prací příprava a likvidace akcí,
4477,4601,2016-07-13T10:23:27+02:00,2016-07-01,Město Neratovice,00237108,,73515.0,,,,Provedení zámkové dlažby v areálu MŠ Rybičky v Neratovicích.,
4481,4605,2016-07-13T10:24:35+02:00,2016-07-08,"Pedagogicko-psychologická poradna, Nový Jičín, příspěvková organizace",62330381,,243785.0,294980.0,,,Osobní automobil,
4485,4609,2016-07-13T10:24:02+02:00,2016-06-26,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,650.0,786.5,,,Tlumočení urdu Drahonice,
4489,4613,2016-07-13T10:28:18+02:00,2016-01-01,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 zajištění pomocníka pro úklid sněhu k rolbě.,
4493,4617,2016-07-13T10:28:46+02:00,2015-01-19,Fakturace (Ministerstvo obrany),60162694,A499,,435000.0,,,"589/2014 - SCH Nákup technických plynů a pronájemtlakových lahví na rok 2015, T004/14V00049717, 13.4. - navýšení částky na rámec VZ",
4501,4625,2016-07-13T10:31:09+02:00,2016-06-29,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,899.0,899.0,,,Tlumočení perský Bělá,
4505,4629,2016-07-13T10:31:26+02:00,2016-07-12,Český statistický úřad,00025593,,,76871.3,,,Nákup stravenek ČSÚ Ostrava červenec 2016,
4509,4633,2016-07-13T10:32:19+02:00,2016-01-08,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,CELOROČNÍ OBJEDNÁVKA 2016 nákup materiálu na fakturu,
4513,4637,2016-07-13T10:33:07+02:00,2016-07-07,"Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje",70932581,,1095125.0,,,,"III/3833 Mokrá - Horákov, most 3833-2.",
4517,4645,2016-07-13T10:34:04+02:00,2016-06-09,Hlavní město Praha,00064581,,264295.0,,,,Vybudování výběhů - ÚPOZ Trója,1837
4521,4649,2016-07-13T10:37:13+02:00,2016-06-22,Krajské ředitelství policie Jihočeského kraje,75151511,Krajské ředitelství policie Jihočeského kraje,393200.0,475772.0,,,NAS dat úložiště Thecus-ITAGE s.r.o.,
4525,4653,2016-07-13T10:39:14+02:00,2016-04-28,"Technické sítě Brno, akciová společnost",25512285,,,,,,Smlouva o pronájmu místa v kolektoru,
4529,4657,2016-07-13T10:39:37+02:00,2015-03-16,Fakturace (Ministerstvo obrany),60162694,A499,,100000.0,,,"8/2015-OB, RS, Údržba produkčního tiskového stroje XEROX 4127, 27.6. - navýšení částky na rok 2016",
4533,4661,2016-07-13T10:40:43+02:00,2016-07-12,"Zdravotnická záchranná služba Moravskoslezského kraje, příspěvková organizace",48804525,,,86515.0,,,Objednávka OOPP,
4537,4665,2016-07-13T10:40:19+02:00,2016-07-13,"Základní škola, Jičín, Železnická 460",70886784,,,361170.0,,,Dodatek č.1 ke smlouvě o dílo ze dne 11. 4. 2016 na výměnu podlahové krytiny,
4541,4669,2016-07-13T10:40:59+02:00,2012-02-07,"Centrum pro dokumentaci majetkových převodů kulturních statků obětí II. světové války, o.p.s.",22772961,,,,,,Smlouva o pronájmu nebytových prostor,
4545,4673,2016-07-13T10:43:37+02:00,2016-01-02,"VÍTKOVICE ARÉNA, a.s.",25911368,,,,,,"CELOROČNÍ OBJEDNÁVKA 2016 opravy a servis tiskáren, faxů a kopírovacích strojů",
4549,4677,2016-07-13T10:46:01+02:00,2016-06-29,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,999.0,999.0,,,Tlumočení paštu Drahonice,
4553,4681,2016-07-13T10:47:20+02:00,2016-07-11,Jihočeský kraj,70890650,Kancelář hejtmana,99950.0,120940.0,,,"reklamního plnění v rámci finále světové soutěže Miss – Mister Deaf World (neslyšící), které se bude konat dne 18.7.2016 v Českých Budějovicích pod záštitou pana hejtmana.",
4557,4685,2016-07-13T10:47:53+02:00,2016-07-12,"Vyšší odborná škola,Střední škola,Centrum oddborné přípravy,Sezimovo Ústí, Budějovická 421",12907731,,175440.0,,,,"Internetové připojení pro VOŠ, SŠ, COP Sezimovo Ústí,  Budějovická 421",
4561,4689,2016-07-13T10:48:26+02:00,2016-07-11,Město Nová Paka,00271888,,728000.0,,,,Dotatek č. 1 k příkazní smlouvě na technický dozor stavby - bazén,
4569,4697,2016-07-13T10:50:17+02:00,2016-07-08,Vysoká škola ekonomická v Praze,61384399,,5682361.75,,,,Rekonstrukce učeben 1. a 2. NP Rajská budova,
4573,4701,2016-07-13T10:50:49+02:00,2016-07-01,Město Mělník,00237051,,3223000.0,3899830.0,,,kompletní dodávka bezbariérových a stavebních úprav č.p. 179,
4577,4705,2016-07-13T10:55:14+02:00,2016-01-18,Fakturace (Ministerstvo obrany),60162694,A499,,115000.0,,,RS Kalibrace a ověření stanoveného měřidla u přístrojů na zjštění alkoholu,
4581,4709,2016-07-13T10:55:43+02:00,2016-07-12,Dopravní podnik měst Chomutova a Jirkova a.s.,64053466,,271700.0,,,,Objednávka,
4585,4713,2016-07-13T10:56:03+02:00,2016-06-29,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,899.0,899.0,,,Tlumočení paštu Bělá,
4589,4717,2016-07-13T10:57:31+02:00,2016-07-12,"Česká pošta, s.p.",47114983,,,,,,eSIPO,
4593,4721,2016-07-13T10:59:47+02:00,2016-07-13,Český statistický úřad,00025593,,,95513.32,,,Nákup stravenek ČSÚ Plzeň červenec 2016,
4597,4725,2016-07-13T11:00:20+02:00,2016-07-12,MĚSTO TURNOV,00276227,,71523.48,,,,Dodávka a instalace plynového kotle.,
4601,4729,2016-07-13T11:00:24+02:00,2016-01-26,Fakturace (Ministerstvo obrany),60162694,A499,,90000.0,,,RS - Ověření funkčnosti DETEKTORŮ CO v letech 2016-2018,
4605,4733,2016-07-13T11:00:37+02:00,2016-07-13,Ústecký kraj,70892156,,300000.0,300000.0,,,16/SML0679,
4609,4737,2016-07-13T11:00:39+02:00,2016-07-01,Ústecký kraj,70892156,,190000.0,190000.0,,,Smlouva o poskytnutí neinvestiční dotace č. 16/SML3157,
4613,4741,2016-07-13T11:01:18+02:00,2016-06-30,Město Vsetín,00304450,,131000.0,131000.0,,,veřejnoprávní smlouva o poskytnutí účelově vázané dotace z rozpočtu města č. 57,
4617,4745,2016-07-13T11:04:54+02:00,2016-06-27,"Centrum sociální a ošetřovatelské pomoci v Praze 10, příspěvková organizace",70873241,,1121280.0,1356749.0,,,Ostraha objektu,
4621,4749,2016-07-13T11:05:29+02:00,2016-07-11,Statutární město Jihlava,00286010,,720000.0,,,,převod bytové jednotky č. 1932/2 v k.ú. Jihlava,
4625,4753,2016-07-13T11:05:44+02:00,2012-02-06,"Centrum pro dokumentaci majetkových převodů kulturních statků obětí II. světové války, o.p.s.",22772961,,,,,,Smlouva o vedení účetnictví,
4629,4757,2016-07-13T11:06:46+02:00,2016-06-29,Správa uprchlických zařízení Ministerstva vnitra,60498021,Správa uprchlických zařízení MV,999.0,999.0,,,Tlumočení pandžábí Drahonice,
4633,4761,2016-07-13T11:07:39+02:00,2016-03-01,"Centrum sociálních služeb Děčín, příspěvková organizace",71235868,,,,,,Smlouva o příspěvku na zajištění činností terénních pracovníků K-centra,
4641,4769,2016-07-13T11:08:32+02:00,2016-07-12,Regionální pracoviště Ústecko (Agentura ochrany přírody a krajiny České republiky),62933591,,195000.0,235950.0,,,Ichtyologický průzkum ve významných tocích CHKO Brdy,
4645,4773,2016-07-13T11:10:05+02:00,2016-06-30,Město Vsetín,00304450,,50000.0,50000.0,,,Veřejnoprávní smlouva o poskytnutí účelově vázané dotace z rozpočtu města č. 110,
4649,4777,2016-07-13T11:14:21+02:00,2016-06-12,Střední odborná škola stavební a zahradnická,00300268,,97900.0,118459.0,,,Nákup nářadí a nástrojů,
4653,4781,2016-07-13T11:15:20+02:00,2016-07-13,Fakultní nemocnice Brno,65269705,,1284600.0,1413060.0,,,objednávka léků,
4657,4785,2016-07-13T11:16:05+02:00,2016-02-12,Fakturace (Ministerstvo obrany),60162694,A499,,700000.0,,,RS - Opravy NA v roce 2016 - Královéhradecký kraj,
4661,4789,2016-07-13T11:17:35+02:00,2016-07-07,"Nemocnice ve Frýdku-Místku, příspěvková organizace",00534188,,,56761.2,,,objednávka léků,
4665,4793,2016-07-13T11:17:08+02:00,2009-10-08,Městská část Praha 12,00231151,,,,,,Obchodní smlouva o zabezpečení závodního stravování pro zaměstnance ÚMČ Praha 12,
4669,4797,2016-07-13T11:20:21+02:00,2016-07-12,Univerzita Karlova v Praze,00216208,Lékařská fakulta v Plzni,205000.0,248050.0,,,LFP - Objednávka - Laboratorní vyšetření tekuté biopsie,
4673,4801,2016-07-13T11:22:43+02:00,2016-06-21,Obec Ondřejov,00240567,,,1587.0,,,Pojistná smlouva úpro autopojištění Copmi Plus III,
4677,4805,2016-07-13T11:32:55+02:00,2016-06-30,Liberecký kraj,70891508,,135000.0,,,,"Smlouva o dílo, Mediální prezentace Libereckého kraje",
4689,4813,2016-07-13T11:35:44+02:00,2010-11-19,Městská část Praha 12,00231151,,,,,,Dodatek č.1 k obchodní smlouvě o zabezpečení závodního stravování,4665
4693,4817,2016-07-13T11:35:46+02:00,2011-09-30,Městská část Praha 12,00231151,,,,,,Dodatek č.2 k obchodní smlouvě o zabezpečení závodního stravování,4665
4697,4821,2016-07-13T11:35:47+02:00,2013-05-31,Městská část Praha 12,00231151,,,,,,Dodatek č.3 k obchodní smlouvě o zabezpečení závodního stravování,4665
4701,4825,2016-07-13T11:40:13+02:00,2016-06-17,Krajské ředitelství policie Jihočeského kraje,75151511,Krajské ředitelství policie Jihočeského kraje,303457.0,367182.97,,,Automobilový zvedák 5t-Jiří Mejzlík,
