ico,of,kpf,npf,dv,dz,esak,esa,kpp,nacek,nace
00282979,Město Židlochovice,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00283061,Město Břeclav,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00283347,Město Mikulov,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00283509,Město Pohořelice,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00283924,Statutární město Zlín,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00284459,město Slavičín,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00284653,Město Vizovice,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00284718,Obec Zádveřice-Raková,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00284891,Město Hodonín,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00285030,Město Kyjov,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00285293,Obec Starý Poddvorov,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00285455,Město Veselí nad Moravou,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00285668,Město Brtnice,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00285765,Městys Dolní Cerekev,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00285862,Obec Hodice,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00285960,Obec Jamné,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00286010,Statutární město Jihlava,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00286028,Obec Jihlávka,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00286079,Městys Kamenice,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00286435,Město Polná,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00286745,Město Telč,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00286753,Město Třešť,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00287008,Obec Ždírec,801,Obec nebo městská část hlavního města Prahy,1991-06-12,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00287113,Město Bystřice pod Hostýnem,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00287601,Obec Počenice-Tetětice,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288357,Obec Klopotovice,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288446,Obec Ludmírov,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288462,Obec Mořice,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288594,Obec Otinoves,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288616,Obec Pěnčín,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288632,Město Plumlov,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288659,Statutární město Prostějov,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288675,Městys Protivanov,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288888,Obec Víceměřice,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288926,Obec Vranovice-Kelčice,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00288934,Obec Vrbátky,801,Obec nebo městská část hlavního města Prahy,1961-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289132,Obec Březník,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289329,Obec Dukovany,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289426,Město Hrotovice,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289507,Město Jaroměřice Nad Rokytnou,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289540,Obec Jinošov,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289922,Městys Mohelno,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289931,Město Moravské Budějovice,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00289965,Město Náměšť nad Oslavou,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00290068,Městys Opatov,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00290629,Město Třebíč,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00291463,Město Uherský Brod,801,Obec nebo městská část hlavního města Prahy,1945-04-26,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00291676,Město Bučovice,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00291994,Obec Lovčičky,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00292427,Město Vyškov,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00293806,Městys Vranov nad Dyjí,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00293881,Město Znojmo,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00293971,Městys Bobrová,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00294055,Obec Bory,801,Obec nebo městská část hlavního města Prahy,1990-12-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00294136,Město Bystřice nad Pernštejnem,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00294233,Obec Dolní Rožínka,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00294306,Obec Herálec,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00294616,Městys Křižanov,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,84110,Všeobecné činnosti veřejné správy
00294900,Město Nové Město na Moravě,801,Obec nebo městská část hlavního města Prahy,1990-12-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295205,Obec Radešínská Svratka,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295281,Obec Rovečné,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295329,Obec Rožná,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295353,Obec Řečice,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295451,Městys Sněžné,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295540,Obec Škrdlovice,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295647,Město Velká Bíteš,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295671,Město Velké Meziříčí,801,Obec nebo městská část hlavního města Prahy,1991-06-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295841,Město Žďár nad Sázavou,801,Obec nebo městská část hlavního města Prahy,1990-12-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00295892,Město Bruntál,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00296244,Město Moravský Beroun,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00296279,Obec Osoblaha,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00296317,Město Rýmařov,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00296481,Město Zlaté Hory,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00296643,Statutární město Frýdek-Místek,801,Obec nebo městská část hlavního města Prahy,1991-11-20,,13130,Místní vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00296848,Obec Krmelín,801,Obec nebo městská část hlavního města Prahy,1991-11-20,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00297313,Město Třinec,801,Obec nebo městská část hlavního města Prahy,1991-11-20,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00297488,Statutární město Havířov,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00297534,Statutární město Karviná,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00297569,Město Bohumín,801,Obec nebo městská část hlavního města Prahy,1976-10-23,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00297577,Město Orlová,801,Obec nebo městská část hlavního města Prahy,1982-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00297755,Město Bílovec,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00297852,Město Frenštát pod Radhoštěm,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00298077,Město Kopřivnice,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00298212,Město Nový Jičín,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00298221,Město Odry,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00298794,Obec Dlouhá Loučka,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00299006,Obec Cholina,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00299308,Statutární město Olomouc,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,1000 - 1499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00299529,Město Šternberk,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00299537,Obec Šumvald,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00299588,Obec Tršice,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00299634,Město Uničov,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00300063,Město Hlučín,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00300241,Obec Kobeřice,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00300268,"Střední odborná škola stavební a zahradnická, Praha 9, Učňovská 1",331,Příspěvková organizace,1991-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00300292,Město Kravaře,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00300535,Statutární město Opava,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00300870,Město Vítkov,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00301078,Městys Brodek u Přerova,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00301311,Město Hranice,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00301329,Městys Hustopeče nad Bečvou,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00301370,Město Kojetín,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00301493,Město Lipník nad Bečvou,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00301582,Obec Milenov,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00301825,Statutární město Přerov,801,Obec nebo městská část hlavního města Prahy,1980-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00302384,Obec Bohuslavice,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00302724,Město Jeseník,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00303038,Město Mohelnice,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00303160,Obec Písečná,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00303461,Město Šumperk,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00303640,Město Zábřeh,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00304271,Město Rožnov pod Radhoštěm,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00304387,Město Valašské Meziříčí,801,Obec nebo městská část hlavního města Prahy,1980-10-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00304450,Město Vsetín,801,Obec nebo městská část hlavního města Prahy,1982-02-24,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00346292,"Zdravotnická záchranná služba Jihomoravského kraje, příspěvková organizace",331,Příspěvková organizace,1991-01-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,86909,Ostatní činnosti související se zdravotní péčí j. n.
00360716,"Oblastní muzeum v Lounech, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,91020,Činnosti muzeí
00368717,Obec Kobeřice u Brna,801,Obec nebo městská část hlavního města Prahy,1990-11-25,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00371394,Kulturní centrum Golf Semily,331,Příspěvková organizace,1991-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,93290,Ostatní zábavní a rekreační činnosti j. n.
00373222,"Janáčkova filharmonie Ostrava, příspěvková organizace",331,Příspěvková organizace,1980-09-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,90020,Podpůrné činnosti pro scénická umění
00373613,Obec Arnolec,801,Obec nebo městská část hlavního města Prahy,1990-11-25,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00373761,Obec Kamenná,801,Obec nebo městská část hlavního města Prahy,1990-11-25,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00373885,Obec Panské Dubenky,801,Obec nebo městská část hlavního města Prahy,1990-11-25,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00373915,Obec Sedlatice,801,Obec nebo městská část hlavního města Prahy,1990-11-25,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00373940,Obec Šimanov,801,Obec nebo městská část hlavního města Prahy,1990-11-25,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00376809,Obec Čikov,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00376825,Obec Dědice,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00376850,Obec Hodov,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00376965,Obec Horní Heřmanice,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00376981,Obec Horní Újezd,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00377309,Obec Chlum,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00377589,Obec Kamenná,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00377601,Obec Kladeruby nad Oslavou,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00378003,Obec Kuroslepy,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00378046,Obec Lesůňky,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00378216,Obec Nárameč,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00378267,Obec Ocmanice,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00378275,Obec Odunec,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00378461,Obec Pokojovice,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00378607,Obec Slavičky,801,Obec nebo městská část hlavního města Prahy,1990-11-24,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00400921,"Centrum experimentálního divadla, příspěvková organizace",331,Příspěvková organizace,1991-12-31,,13130,Místní vládní instituce,100 - 199 zaměstnanců,90040,Provozování kulturních zařízení
00406741,Fotbalová asociace České republiky,706,Spolek,1990-01-31,,15002,Neziskové instituce sloužící domácnostem soukromé národní,100 - 199 zaměstnanců,93110,Provozování sportovních zařízení
00407933,"SOS dětské vesničky, z.s.",706,Spolek,1990-01-18,,15002,Neziskové instituce sloužící domácnostem soukromé národní,50 - 99 zaměstnanců,94999,Činnosti ostatních organizací j. n.
00408328,Hnutí Brontosaurus,706,Spolek,1990-01-25,,15002,Neziskové instituce sloužící domácnostem soukromé národní,1 - 5 zaměstnanců,94995,Činnosti environmentálních a ekologických hnutí
00417688,"Technické služby města Nového Jičína, příspěvková organizace",331,Příspěvková organizace,1987-01-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00425869,Oblastní spolek ČČK Český Krumlov,736,Pobočný spolek,1976-12-31,,15002,Neziskové instituce sloužící domácnostem soukromé národní,1 - 5 zaměstnanců,9499,Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů j. n.
00426091,Oblastní spolek Českého červeného kříže Liberec,736,Pobočný spolek,1976-12-31,,15002,Neziskové instituce sloužící domácnostem soukromé národní,1 - 5 zaměstnanců,9499,Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů j. n.
00426199,Oblastní spolek Českého červeného kříže Jičín,736,Pobočný spolek,1976-12-31,,15002,Neziskové instituce sloužící domácnostem soukromé národní,6 - 9 zaměstnanců,94993,Činnosti organizací na podporu rekreační a zájmové činnosti
00433918,Územní sdružení Českého zahrádkářského svazu Karviná,736,Pobočný spolek,1976-12-31,,15002,Neziskové instituce sloužící domácnostem soukromé národní,1 - 5 zaměstnanců,94993,Činnosti organizací na podporu rekreační a zájmové činnosti
00445118,Biskupství českobudějovické,721,Církevní organizace,1985-05-01,,15002,Neziskové instituce sloužící domácnostem soukromé národní,200 - 249 zaměstnanců,94910,Činnosti náboženských organizací
00475840,Obec Ježov,801,Obec nebo městská část hlavního města Prahy,1990-07-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00476455,Obec Mysletín,801,Obec nebo městská část hlavního města Prahy,1990-07-01,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00477036,TJ Slavoj Pacov,706,Spolek,1990-07-01,,15002,Neziskové instituce sloužící domácnostem soukromé národní,Neuvedeno,931,Sportovní činnosti
00478512,Obec Sirá,801,Obec nebo městská část hlavního města Prahy,1990-04-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
